"numero";"ano";"id_unidade_requisitante";"nome_unidade_requisitante";"id_unidade_custo";"nome_unidade_custo";"data_envio";"descricao";"local";"observacoes";"status";"processo"
"2198";"2014";"116";"NÚCLEO TECNOLÓGICO INDUSTRIAL";"116";"NÚCLEO TECNOLÓGICO INDUSTRIAL";"07/04/2014";"SOLICITAMOS QUE SEJA IMPLEMENTADO O SISTEMA DE DRENAGEM DA ÁREA DE ESTACIONAMENTO DO NTI, (VISTO QUE JÁ FOI SOLICITADOS VÁRIAS VEZES DESDE 1980 ATÉ ESTA DATA AINDA NÃO FOI ATENDIDAS NOSSAS SOLICITAÇÕES.";"NTI";"";"ENVIADA_PROJETO";"23077.36211/2014-4"
"2183";"2014";"20";"SUPERINTENDÊNCIA DE INFRAESTRUTURA";"20";"SUPERINTENDÊNCIA DE INFRAESTRUTURA";"04/04/2014";"SOLICITA REFORMA DAS ENFERMARIAS DO PAVIMENTO TÉRREO DA MATERNIDADE ESCOLA JANUÁRIO CICCO ( MEJC) PARA A UTILIZAÇÃO DE GASES MEDICINAIS.";"Maternidade Escola Januário Cicco ( MEJC) - UFRN Natal/RN";"";"ENVIADA_PROJETO";"23077.21994/2014-13"
"2157";"2014";"123";"DEPARTAMENTO DE GEOLOGIA";"123";"DEPARTAMENTO DE GEOLOGIA";"04/04/2014";"REFORMAR (AMPLIAR) OS BANHEIROS DO DEPARTAMENTO DE GEOLOGIA E ADEQUÁ-LOS ÀS NORMAS DE ACESSIBILIDADE VIGENTES. REFORMAR (AMPLIAR) A SALA DE AULA Nº 27 DO DEPARTAMENTO DE GEOLOGIA, TRANSFORMANDO DUAS SALAS EM UMA. SUGERIMOS APROVEITAR O PERÍODO DE FÉRIAS (MÊS DE JULHO) PARA A EXECUÇÃO DAS OBRAS, PARA EVITAR MAIORES TRANSTORNOS À COMUNIDADE ACADÊMICA.";"Departamento de Geologia";"";"ENVIADA_PROJETO";"23077.36212/2014-41"
"2105";"2014";"181";"DEPARTAMENTO DE MICROBIOLOGIA E PARASITOLOGIA";"181";"DEPARTAMENTO DE MICROBIOLOGIA E PARASITOLOGIA";;"DIVISÃO DE UMA SALA EM DUAS COM PAREDE DE ALVENARIA E ABERTURA DE 2 PORTAS (UMA DE CADA NOVA SALA) PARA O CORREDOR QUE DÁ ACESSO ÀS SALAS. ALÉM DISSO, FAZ-SE NECESSÁRIO A MUDANÇA DO SISTEMA DE ILUMINAÇÃO PARA QUE EM CADA SALA HAJA INDEPENDÊNCIA PARA O ACENDIMENTO DAS LÂMPADAS. SALA DO PROF.º ERMETON.";"Sala do Prof.º Ermeton.";"";"ATENDIDA";"23077.36213/2014-95"
"2095";"2014";"6026";"INSTITUTO DO CÉREBRO";"6026";"INSTITUTO DO CÉREBRO";;"SOLICITAMOS A CONSTRUÇÃO DO CAMUNDONGÁRIO PARA ATENDER AS METAS DE EXTENSÃO DA UNIDADE.";"Av. Nascimento de Castro, 2155 - Lagoa Nova";"";"ATENDIDA";"23077.36215/2014-84"
"2091";"2014";"20";"SUPERINTENDÊNCIA DE INFRAESTRUTURA";"20";"SUPERINTENDÊNCIA DE INFRAESTRUTURA";"01/04/2014";"SOLICITAMOS REESTRUTURAÇÃO DAS INSTALAÇÕES ELÉTRICAS E DE LÓGICA DO CT COMO TAMBÉM A INSTALAÇÃO DE FORRO AINDA INEXISTENTE.";"CT / UFRN";"";"ENVIADA_PROJETO";"23077.21197/2014-36"
"2082";"2014";"20";"SUPERINTENDÊNCIA DE INFRAESTRUTURA";"20";"SUPERINTENDÊNCIA DE INFRAESTRUTURA";"01/04/2014";"SOLICITO O DESENVOLVIMENTO DE PROJETOS DE ARQUITETURA E COMPLEMENTARES, POR ESSA SUPERINTENDÊNCIA, PARA O PRÉDIO DO CURSO DE MEDICINA MULTICAMPI A SER CONSTRUÍDO NAS INSTALAÇÕES DO CERES/CAICÓ.";"CERES Caicó/RN";"";"ENVIADA_PROJETO";"23077.21720/2014-24"
"2006";"2014";"121";"DEPARTAMENTO DE FÍSICA TEÓRICA E EXPERIMENTAL";"121";"DEPARTAMENTO DE FÍSICA TEÓRICA E EXPERIMENTAL";;"SOLICITAMOS A INSPEÇÃO DE SEGURANÇA DO SISTEMA DE EXAUSTAO DO LABORATÓRIO PVT - LABPVT, LOCALIZADO EM FRENTE À BCZM";"LABPVT - dep. de física";"";"ENVIADA_PROJETO";"23077.36218/2014-18"
"1998";"2014";"6026";"INSTITUTO DO CÉREBRO";"6026";"INSTITUTO DO CÉREBRO";;"SOLICITAMOS A TROCA DO QUADRO DE ENERGIA DO NOVO IMÓVEL ALUGADO PARA ATENDER À EXPANSÃO DAS ATIVIDADES DA UNIDADE.";"Av. Nascimento de Castro, 2151 - Lagoa Nova.";"";"ATENDIDA";"23077.21200/2014-11"
"1996";"2014";"6025";"INSTITUTO DE QUÍMICA";"6025";"INSTITUTO DE QUÍMICA";;"SOLICITO UM ENGENHEIRO PARA REFAZER UMA PLANTA DE DISTRIBUIÇÃO DO LABORATÓRIO DE CIMENTO, NO LABORATÓRIO DE QUÍMICA II, INSTITUTO DE QUÍMICA.";"Laboratório de Química II, Instituto de Química.";"";"ENVIADA_PROJETO";"23077.21201/2014-66"
"1974";"2014";"7815";"ASSESSORIA DE PLANEJAMENTO E GESTÃO ADMINISTRATIVA";"1552";"GASTOS COMUNS CT";"26/03/2014";"CONSTRUÇÃO DE PAREDE DE COBOGÓ PARA PROTEÇÃO DE CONDENSADORAS DE AR-CONDICIONADO TIPO SPLIT NO PAVILHÃO ADMINISTRATIVO DO CENTRO DE TECNOLOGIA (CT)";"Pavilhão administrativo do Centro de Tecnologia (CT)";"";"ENVIADA_PROJETO";"23077.21203/2014-55"
"1972";"2014";"7815";"ASSESSORIA DE PLANEJAMENTO E GESTÃO ADMINISTRATIVA";"1552";"GASTOS COMUNS CT";"26/03/2014";"CONSTRUÇÃO DE CALÇADA PARA FIXAÇÃO DE CONDENSADORAS DE AR-CONDICIONADO TIPO SPLIT DO PAVILHÃO ADMINISTRATIVO DO CENTRO DE TECNOLOGIA  CT (VER A POSSIBILIDADE DE EXECUTAR ATRAVÉS DO PREGÃO 98/2013)";"Pavilhão administrativo do Centro de Tecnologia (CT)";"";"ENVIADA_PROJETO";"23077.21204/2014-8"
"1885";"2014";"156";"DIREÇÃO DO CCSA";"156";"DIREÇÃO DO CCSA";;"PREZADO GUSTAVO
SOLICITO TRATAMENTO ACÚSTICO NA SALA D4 DO SETOR V UMA VEZ QUE O VIBRAÇÃO DO SOM TEM TORNADO DIFÍCIL O TRABALHO DO PROFESSOR. DADO QUE SE TRATA DE UMA SALA DE AULA  SOLICITO URGÊNCIA NO ATENDIMENTO. DESDE JÁ GRATA PELA ATENÇÃO.
UM ABRAÇO
 ARLETE";"Setor V- Sala D4";"";"ENVIADA_PROJETO";"23077.21208/2014-88"
"1861";"2014";"385";"UEI-UNIDADE DE EDUCAÇÃO INFANTIL";"385";"UEI-UNIDADE DE EDUCAÇÃO INFANTIL";;"Instalação de 03 (três) pontos elétricos monofásicos para na Sala de Nutrição da Unidade de Educação Infantil.";"Sala de Nutrição da Unidade de Educação Infantil.";"";"ARQUIVADA";
"1840";"2014";"177";"DEPARTAMENTO DE MORFOLOGIA";"177";"DEPARTAMENTO DE MORFOLOGIA";"26/03/2014";"CONFECÇÃO E INBSTALAÇÃO DE 3 (TRÊS) CUBAS DE LAVAGEM PARA PEÇAS ANATÔMICAS NOS TRÊS LABORATÓRIOS DE ANATOMIA HUMANA E DISSECAÇÃO";"3 Laboratórios de Anatomia Humana e Dissecação";"";"ENVIADA_PROJETO";"23077.21209/2014-22"
"1838";"2014";"1431";"DIRETORIA DE OBRAS";"1431";"DIRETORIA DE OBRAS";"20/03/2014";"COMPLEMENTAÇÃO DO PRÉDIO DESTINADO AO LABORATÓRIO DA HISTÓRIA DO CERES DE CAICÓ - 2ª ETAPA";"CERES CAICÓ";"";"ATENDIDA";"23077.17400/2014-70"
"1791";"2014";"61";"ADMINISTRAÇÃO DO CERES - CAICÓ";"1482";"CENTRO DE  ENSINO SUPERIOR DO SERIDÓ";"19/03/2014";"RESTAURAÇÃO DO MUSEU DO SERIDÓ";"Rua Amaro Cavalcante, 123  - CENTRO - CAICÓ";"";"ATENDIDA";"23077.21211/2014-0"
"1751";"2014";"116";"NÚCLEO TECNOLÓGICO INDUSTRIAL";"116";"NÚCLEO TECNOLÓGICO INDUSTRIAL";;"SOLICITAMOS UM ESTACIONAMENTO ENTRE O LABORATÓRIO LAUTE E O SETOR DE PESQUISA EM QUESTÃO DO PROF. GEORGE MARINHO.";"NTI";"";"ATENDIDA";"23077.36219/2014-62"
"1718";"2014";"119";"ADMINISTRAÇÃO DO CCET";"119";"ADMINISTRAÇÃO DO CCET";;"SOLICITO QUE SEJA FEITA REVISÃO GERAL DE TODA INSTALAÇÃO DO PRÉDIO ADMINISTRATIVO DO CCET.";"CCET";"";"AGUARDANDO_EXECUCAO";
"1706";"2014";"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";;"SOLICITAMOS A PERFURAÇÃO E INSTALAÇÃO DE UM POÇO TUBULAR PARA ATENDER OS PROJETOS GEFOR - GRUPO DE ESTUDOS EM FORRAGICULTURA E O SETOR DE PESQUISA EM CAPRINOS E OVINOS.";"Escola Agrícola de Jundiaí - Campus de Macaíba.";"";"ATENDIDA";"23077.21212/2014-46"
"1692";"2014";"121";"DEPARTAMENTO DE FÍSICA TEÓRICA E EXPERIMENTAL";"121";"DEPARTAMENTO DE FÍSICA TEÓRICA E EXPERIMENTAL";;"CRIAÇÃO DE RAMPA DE ACESSIBILIDADE  DE MATERIAIS E PESSOAS, NA SAÍDA DO LABORATÓRIO DE CRIOGENIA, LOCALIZADO NO PRÉDIO II DO DEPARTAMENTO DE FÍSICA.";"VER ACIMA";"";"ENVIADA_PROJETO";"23077.21215/2014-80"
"1677";"2014";"178";"DEPARTAMENTO DE FISIOLOGIA E COMPORTAMENTO";"178";"DEPARTAMENTO DE FISIOLOGIA E COMPORTAMENTO";;"ENGENHEIRO ELÉTRICO PARA VERIFICAR O RESULTADO FINAL DA OBRA DE REVISÃO ELÉTRICA/IMPLANTAÇÃO DO QUADRO DE ENERGIA ELÉTRICA DO NÚCLEO DE PRIMATOLOGIA DO DFS-CB";"Núcleo de Primatologia do DFS-CB";"";"ENVIADA_PROJETO";"23077.21216/2014-24"
"1617";"2014";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"12/03/2014";"SOLICITA ELABORAÇÃO DE PROJETO PARA REALIZAÇÃO DO ENCONTRO NACIONAL DOS PONTOS DE CULTURA E SUAS INTERAÇÕES COM A EXTENSÃO UNIVERSITÁRIA - TEIA NACIONAL DA DIVERSIDADE.";"Campus Universitário Central.";"";"ENVIADA_PROJETO";"23077.15423/2014-40"
"1614";"2014";"120";"DEPARTAMENTO DE MATEMÁTICA";"120";"DEPARTAMENTO DE MATEMÁTICA";"13/03/2014";"SOLICITO FUNCIONÁRIO PARA A ABERTURA DE DUAS PORTAS NAS SALAS 65 C E 65D (SALAS CONJUGADAS) E NAS SALAS 49 A E 49 B (TAMBÉM CONJUGADAS), LOCALIZADAS NO 2º PISO DO PRÉDIO ADMINISTRATIVO DO CCET (ALA DA MATEMÁTICA).";"SALAS 65 C e 65D (SALAS CONJUGADAS) E SALAS 49 A E 49 B (TAMBÉM CONJUGADAS), LOCALIZADAS NO 2º PISO DO PRÉDIO ADMINISTRATIVO DO CCET (ALA DA MATEMÁTICA)";"";"ENVIADA_PROJETO";"23077.17401/2014-14"
"1534";"2014";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"10/03/2014";"ELABORAÇÃO DO PROJETO DO CENTRO DE EXTENSÃO CIDADANIA E CULTURA DA UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE (ANTIGO GRUPO ESCOLAR AUGUSTO SEVERO)";"Centro de Extensão Cidadania e Cultura da Universidade Federal do Rio Grande do Norte (Antigo Grupo Escolar Augusto Severo)";"";"ENVIADA_PROJETO";"23077.15810/2014-86"
"1473";"2014";"121";"DEPARTAMENTO DE FÍSICA TEÓRICA E EXPERIMENTAL";"121";"DEPARTAMENTO DE FÍSICA TEÓRICA E EXPERIMENTAL";;"SOLICITAMOS PRESENÇA DE ARQUITETO PARA CONSTRUÇÃO DE RAMPA DE ACESSIBILIDADE E ENTRADA E SAÍDA DE MATERIAIS NOS LABORATÓRIOS DE CRIOGENIA E PPMS, LOCALIZADOS NO PRÉDIO II DO DPTO. DE FÍSICA.";"Ver acima.";"";"ENVIADA_PROJETO";"23077.15811/2014-21"
"1415";"2014";"176";"ADMINISTRAÇÃO DO CB";"176";"ADMINISTRAÇÃO DO CB";;"SOLICITO COM URGENCIA UM ARQUITETO PARA DEFINIÇÃO DE UMA PEQUENA REFORMA NAS SALAS DE TRES  PROFESSORES DO DEPARTAMENTO DE MORFOLOGIA, QUE SERÃO TRANSFORMADAS EM UM LABORATÓRIO.";"Centro de Biociências / DEMOR (procurar Anibal)";"";"ATENDIDA";"23077.14890/2014-52"
"1399";"2014";"107";"PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA SANITÁRIA";"107";"PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA SANITÁRIA";"27/02/2014";"- PROJETO DE GASES ESPECIAIS (HÉLIO, ACETILENO, ÓXIDO NITROSO, NITROGÊNIO E AR SINTÉTICO) E DE SISTEMA DE AR COMPRIMIDO;
- BANCADA COM ARMÁRIOS P/ INSTALAÇÃO DOS EQUIPAMENTOS TOC, ABSORÇÃO ATÔMICA, CROMATÓGRAFO IÔNICO E ZETÂMETRO;
- ADEQUAÇÃO DAS INSTALAÇÕES ELÉTRICAS
- EXAUSTÃO (ABSORÇÃO ATÔMICA) E VENTILAÇÃO.
- CLIMATIZAÇÃO
- INSTALAÇÕES HIDROSSANITÁRIAS";"Laboratório de análise de águas do LARHISA.";"";"ENVIADA_PROJETO";"23077.12858/2014-32"
"1379";"2014";"2683";"HUOL - DIRETORIA DE ENGENHARIA CLINICA";"2683";"HUOL - DIRETORIA DE ENGENHARIA CLINICA";"26/02/2014";"PROJETO E EXECUÇÃO DE PREVENÇÃO CONTRA INCÊNDIO, EXPLOSÃO E PÂNICO PARA EDIFICAÇÕES INCLUINDO VISTORIA DO CORPO DE BOMBEIROS.";"Hospital Universitário Onofre Lopes";"";"ATENDIDA";"23077.12860/2014-10"
"1347";"2014";"205";"ESCOLA DE SAÚDE";"205";"ESCOLA DE SAÚDE";"25/02/2014";"CONSTRUÇÃO DE:
- TRÊS SALAS MEDINDO 100M², SENDO UMA POR PAVIMENTO. TAIS SALAS SERÃO UTILIZADAS PARA LABORATÓRIOS DE HABILIDADES EM SAÚDE;";"Prosseguindo a ampliação da Escola de Enfermagem de Natal.";"";"ENVIADA_PROJETO";"23077.12861/2014-56"
"1343";"2014";"205";"ESCOLA DE SAÚDE";"205";"ESCOLA DE SAÚDE";;"ADEQUAÇÃO E AMBIENTAÇÃO DE DUAS SALAS DE AULAS, PARA AMBIENTES ADMINISTRATIVOS, PARA A DIREÇÃO GERAL E COORDENAÇÕES ACADÊMICAS DA ESCOLA DE ENFERMAGEM DE NATAL";"Duas salas de aulas do primeiro pavimento da ampliação da Escola de Enfermagem.";"";"ENVIADA_PROJETO";"23077.12862/2014-9"
"1332";"2014";"8193";"SUPERINTENDÊNCIA DO HUOL - EBSERH";"8193";"SUPERINTENDÊNCIA DO HUOL - EBSERH";;"Projeto e execução de prevenção contra incêndio, explosão e pânico para edificações incluindo vistoria do corpo de bombeiros.";"Hospital Universitário Onofre Lopes";"No dia 18 de fevereiro de 2014 o Hospital Universitário foi notificado quanto a não conformidade da ocupação em relação aos requisitos de segurança. No dia 24 de fevereiro deste solicitamos um prazo de 30 dias para apresentação de providências, conforme o termo de requisição de prazo para regularização. Documentação em anexo.";"PENDENTE AUTORIZAÇÃO CHEFIA";
"1286";"2014";"1421";"PRÓ-REITORIA DE GESTÃO DE PESSOAS";"1421";"PRÓ-REITORIA DE GESTÃO DE PESSOAS";"24/02/2014";"REFORMA DA PRÓ-REITORIA DE GESTÃO DE PESSOA - PROGESP.";"Pró-Reitoria de Gestão de Pessoa - PROGESP.";"";"ENVIADA_PROJETO";"23077.12837/2014-17"
"1276";"2014";"20";"SUPERINTENDÊNCIA DE INFRAESTRUTURA";"20";"SUPERINTENDÊNCIA DE INFRAESTRUTURA";"21/02/2014";"REFORMAS EM SETORES DO CENTRO DE TECNOLOGIA, CENTRO DE CIÊNCIAS EXATAS E DA TERRA E ESCOLA DE CIÊNCIA E TECNOLOGIA";"CAMPUS CENTRAL DA UFRN - R$ 119.597,94";"";"FINALIZADA_ATENDIMENTO";
"1248";"2014";"424";"DEPARTAMENTO DE ENGENHARIA TÊXTIL";"424";"DEPARTAMENTO DE ENGENHARIA TÊXTIL";;"DEVIDO A CHEGADA DE DOIS TÉCNICOS EM MECÂNICA, O DEPARTAMENTO DE ENGENHARIA TÊXTIL VERIFICOU QUE TEM NECESSIDADE DE UM ESPAÇO FÍSICO, PARA QUE OS MESMOS REALIZEM AS MANUTENÇÕES DAS MÁQUINAS E EQUIPAMENTOS DOS LABORATÓRIOS, E ASSIM DESENVOLVEREM SUAS ATIVIDADES.";"Bloco 18 ou 19.";"";"ENVIADA_PROJETO";"23077.12864/2014-90"
"1244";"2014";"1451";"SUSTENTAÇÃO DE ESTOQUE DO ALMOXARIFADO CENTRAL";"1422";"PRÓ-REITORIA DE ADMINISTRAÇÃO (PROAD)";"20/02/2014";"SOLICITO AMPLIAÇÃO DA COBERTURA EXTERNA DO ALMOXARIFADO CENTRAL.";"Almoxarifado Central";"";"ENVIADA_PROJETO";"23077.12865/2014-34"
"1233";"2014";"20";"SUPERINTENDÊNCIA DE INFRAESTRUTURA";"20";"SUPERINTENDÊNCIA DE INFRAESTRUTURA";"20/02/2014";"IMPLANTAÇÃO DE ROTAS ACESSÍVEIS DOS SETORES II E V AO CENTRO DE CONVIVÊNCIA E ANEL VIÁRIO  CAMPUS CENTRAL DA UFRN";"CAMPUS CENTRAL DA UFRN";"";"FINALIZADA_ATENDIMENTO";
"1218";"2014";"176";"ADMINISTRAÇÃO DO CB";"176";"ADMINISTRAÇÃO DO CB";;"SOLICITO A PRESENÇA DE UM ARQUITETO PARA AVALIAR UMA READEQUAÇÃO DA SALA DO LABINFO VISANDO A APROVEITAR MELHOR O ESPAÇO FÍSICO.";"CB / Laboratório de Informática. (procura Anibal";"";"ENVIADA_PROJETO";"23077.12866/2014-89"
"1137";"2014";"199";"DEPARTAMENTO DE EDUCAÇÃO FÍSICA";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"18/02/2014";"REFORMA DOS VESTIÁRIOS DO DEPARTAMENTO DE EDUCAÇÃO FÍSICA";"Departamento de Educação Física";"";"ENVIADA_PROJETO";"23077.11309/2014-41"
"1040";"2014";"1431";"DIRETORIA DE OBRAS";"1431";"DIRETORIA DE OBRAS";"13/02/2014";"SOLICITAÇÃO DE PROVIDÊNCIAS QUANTO À COMPLEMENTAÇÃO DE PROJETOS PARA O CAMPUS DO CÉREBRO";"CAMPUS DO CÉREBRO";"";"ENVIADA_PROJETO";"23077.9399/2014-18"
"1039";"2014";"1431";"DIRETORIA DE OBRAS";"1431";"DIRETORIA DE OBRAS";"13/02/2014";"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DO SISTEMA DE EXAUSTÃO, VENTILAÇÃO E CLIMATIZAÇÃO DO LABORATÓRIO DE ANATOMIA HUMANA E ANATOMIA ANIMAL DO DEPARTAMENTO DE MORFOLOGIA DO CENTRO DE BIOCIÊNCIAS";"CB";"";"ATENDIDA";"23077.9400/2014-4"
"1027";"2014";"20";"SUPERINTENDÊNCIA DE INFRAESTRUTURA";"20";"SUPERINTENDÊNCIA DE INFRAESTRUTURA";"12/02/2014";"COMPLEMENTAÇÃO  DA OBRA DE CONSTRUÇÃO DO PRÉDIO DESTINADO AOS LABORATÓRIOS DOS NOVOS CURSOS DE ENGENHARIA DO CENTRO DE TECNOLOGIA - UFRN";"CENTRO DE TECNOLOGIA - UFRN -";"";"FINALIZADA_ATENDIMENTO";
"970";"2014";"1431";"DIRETORIA DE OBRAS";"1431";"DIRETORIA DE OBRAS";"11/02/2014";"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA MANUTENÇÃO E CONSERVAÇÃO DO GRAMADO DO CAMPO OFICIAL DE TREINAMENTO DA UFRN - COT/UFRN.";"UFRN";"";"ATENDIDA";"23077.9402/2014-95"
"963";"2014";"1431";"DIRETORIA DE OBRAS";"1431";"DIRETORIA DE OBRAS";"11/02/2014";"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA MANUTENÇÃO DO SISTEMA DE IRRIGAÇÃO E CONSERVAÇÃO DO GRAMADO DO CAMPO DE FUTEBOL DA UFRN";"UFRN";"";"ATENDIDA";"23077.8757/2014-67"
"905";"2014";"6069";"INSTITUTO METROPOLE DIGITAL";"6069";"INSTITUTO METROPOLE DIGITAL";;"EFETUAR A VEDAÇÃO ACÚSTICA DAS SALAS ADMINISTRATIVAS DO PRÉDIO DO CIVT DO IMD";"CIVT do IMD, no Campus Central UFRN, ao lado da residência universitária";"";"ATENDIDA";"23077.11310/2014-75"
"864";"2014";"20";"SUPERINTENDÊNCIA DE INFRAESTRUTURA";"20";"SUPERINTENDÊNCIA DE INFRAESTRUTURA";"07/02/2014";"AMPLIAÇÃO DA REDE DE GÁS GLP PARA O PRÉDIO DO DEPARTAMENTO DE NUTRIÇÃO E SAÚDE COLETIVA";"PRÉDIO DO DEPARTAMENTO DE NUTRIÇÃO E SAÚDE COLETIVA - CAMPUS CENTRAL - R$ 19.919,53";"";"FINALIZADA_ATENDIMENTO";
"861";"2014";"20";"SUPERINTENDÊNCIA DE INFRAESTRUTURA";"20";"SUPERINTENDÊNCIA DE INFRAESTRUTURA";"07/02/2014";"URBANIZAÇÃO, CONSTRUÇÃO DE RESERVATÓRIOS INFERIORES E OUTROS SERVIÇOS NA FACULDADE DE CIÊNCIAS DA SAÚDE DO TRAIRÍ - FACISA";"Faculdade de Ciências da Saúde do Trairi no Campus Avançado de Santa Cruz/RN.";"";"FINALIZADA_ATENDIMENTO";
"860";"2014";"20";"SUPERINTENDÊNCIA DE INFRAESTRUTURA";"20";"SUPERINTENDÊNCIA DE INFRAESTRUTURA";"07/02/2014";"REFORMAS NO PRÉDIO DO DEPARTAMENTO DE TOCOGINECOLOGIA E NOS BANHEIROS DO HOSPITAL DE PEDIATRIA DA UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"Departamento de Tocoginecologia e Hospital de Pediatria, localizados à Rua General Cordeiro de Farias s/n  Bairro de Petrópolis - Natal-RN. - R$ 427.616,46";"";"FINALIZADA_ATENDIMENTO";
"801";"2014";"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";;"SOLICITO PROJETO DE INTERCOMUNICAÇÃO DE FIBRA E CABEAMENTO ESTRUTURADO PARA O EDIFÍCIO PERTENCENTE A UNIDADE DE ATENDIMENTO AO EDUCANDO DA EAJ COM O OBJETIVO DE ATENDER A NECESSIDADE DOS SERVIDORES ALI LOTADO.";"Escola Agrícola de Jundiaí - Campus de Macaíba.";"";"ATENDIDA";"23077.9404/2014-84"
"772";"2014";"1463";"RESIDENCIAS UNIVERSITÁRIAS";"1463";"RESIDENCIAS UNIVERSITÁRIAS";;"- SOLICITAMOS A VOSSA SENHORIA ACIONAR A EMPRESA QUE EFETUOU A OBRA DE CONSTRUÇÃO DA RESIDÊNCIA UNIVERSITÁRIA DE SANTA CRUZ, PARA ELIMINAR INFILTRAÇÕES EXISTENTES NOS BANHEIROS E NA COZINHA. COMO TAMBÉM ALGUMAS PORTAS E JANELAS QUE ESTÃO COM DEFEITOS.";"- RESIDÊNCIA UNIVERSITÁRIA DE SANTA CRUZ/RN";"";"ATENDIDA";"23077.7309/2014-46"
"764";"2014";"123";"DEPARTAMENTO DE GEOLOGIA";"123";"DEPARTAMENTO DE GEOLOGIA";;"SOLICITO UM PROJETO DE REFORMA PARA O LABORATÓRIO DE INFORMÁTICA DO DEPARTAMENTO DE GEOLOGIA.";"Departamento de Geologia.";"";"ENVIADA_PROJETO";"23077.9405/2014-29"
"744";"2014";"2683";"HUOL - DIRETORIA DE ENGENHARIA CLINICA";"446";"HOSPITAL UNIVERSITÁRIO ONOFRE LOPES";"04/02/2014";"PROJETO PARA A IMPLANTAÇÃO DA BRINQUEDOTECA HOSPITALAR PARA AS CRIANÇAS INTERNADAS DO HOSPITAL UNIVERSITÁRIO ONOFRE LOPES - HUOL.";"1º subsolo do Edifício Central de Internação-ECI";"";"ENVIADA_PROJETO";"23077.9407/2014-18"
"737";"2014";"7815";"ASSESSORIA DE PLANEJAMENTO E GESTÃO ADMINISTRATIVA";"1552";"GASTOS COMUNS CT";"04/02/2014";"PINTURA EXTERNA DO PAVILHÃO ADMINISTRATIVO DO CENTRO DE TECNOLOGIA (CT), MANTENDO AS CARACTERÍSTICAS DAS CORES ORIGINAIS, ATRAVÉS DO PREGÃO Nº 99/2013";"Pavilhão administrativo do Centro de Tecnologia (CT)";"";"ATENDIDA";"23077.7310/2014-71"
"697";"2014";"202";"DEPARTAMENTO DE SAÚDE COLETIVA";"202";"DEPARTAMENTO DE SAÚDE COLETIVA";"03/02/2014";"PROJETO, EXECUÇÃO E IMPLANTAÇÃO DE SISTEMA DE ILUMINAÇÃO NA PARTE DE TRÁS DO REFERIDO PRÉDIO ÀS ESCURAS, OCASIONANDO INCÔMODO PARA OS USUÁRIOS LOCAIS. INCLUSIVE ALGUMAS ATIVIDADES NÃO PODEM SER EXPANDIDAS DEVIDO A DEFICIÊNCIA DE ILUMINAÇÃO.";"Iluminação da parte externa atrás do prédio novo do DSC(Departamento de Saúde Coletiva),DNUT(Departamento de Nutrição) e NESC no Campus Central.";"";"ENVIADA_PROJETO";"23077.7312/2014-60"
"666";"2014";"447";"MATERNIDADE ESCOLA JANUÁRIO CICCO";"447";"MATERNIDADE ESCOLA JANUÁRIO CICCO";;"Reforma do Consultório de Histeroscopia da Maternidade Escola Januário Cicco.";"Maternidade Escola Januário Cicco";"";"PENDENTE AUTORIZAÇÃO CHEFIA";
"588";"2014";"141";"DEPARTAMENTO DE HISTÓRIA";"141";"DEPARTAMENTO DE HISTÓRIA";;"SOLICITO A ABERTURA DE UMA PORTA ENTRE AS SALAS 810 E 811 DO CCHLA.";"Departamento de História. Procurar Gerson ou Márcio";"";"ENVIADA_PROJETO";"23077.7313/2014-12"
"476";"2014";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"27/01/2014";"PROJETO DE SUBESTAÇÃO PARA O CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES - CCHLA";"CCHLA";"";"ENVIADA_PROJETO";"23077.7314/2014-59"
"475";"2014";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"27/01/2014";"PROJETO DE REFORMA E AMPLIAÇÃO DA SUBESTAÇÃO ELÉTRICA DOS SETORES DE AULAS III E IV";"Setores de Aulas III e IV";"";"ENVIADA_PROJETO";"23077.7316/2014-48"
